"","STCITY_CLEAN","NAICSD","NAICS.6","businesses","employment","emp.by.biz"
"1","Acton","Advertising Agencies","541810",1,4,4
"2","Acton","Architectural Services","541310",1,3,3
"3","Acton","Commercial Printing (except Screen and Books)","323111",4,18,4.5
"4","Acton","Commercial Screen Printing","323113",1,3,3
"5","Acton","Fine Arts Schools","611610",5,33,6.6
"6","Acton","Graphic Design Services","541430",3,5,1.67
"7","Acton","Interior Design Services","541410",8,33,4.12
"8","Acton","Landscape Architectural Services","541320",1,1,1
"9","Acton","Motion Picture Theaters (except Drive-Ins)","512131",1,7,7
"10","Acton","Motion Picture and Video Production","512110",2,13,6.5
"11","Acton","Museums","712110",7,114,16.29
"12","Acton","Music Publishers","512230",1,2,2
"13","Acton","Nature Parks and Other Similar Institutions","712190",2,10,5
"14","Acton","Other Performing Arts Companies","711190",2,7,3.5
"15","Acton","Photography Studios, Portrait","541921",2,2,1
"16","Acton","Teleproduction and Other Postproduction Services","512191",2,9,4.5
"17","Acton","Theater Companies and Dinner Theaters","711110",5,23,4.6
"18","Arlington","Architectural Services","541310",15,50,3.33
"19","Arlington","Commercial Photography","541922",7,9,1.29
"20","Arlington","Commercial Printing (except Screen and Books)","323111",2,10,5
"21","Arlington","Fine Arts Schools","611610",10,227,22.7
"22","Arlington","Graphic Design Services","541430",7,17,2.43
"23","Arlington","Historical Sites","712120",1,2,2
"24","Arlington","Independent Artists, Writers, and Performers","711510",6,11,1.83
"25","Arlington","Indoor and Outdoor Display Advertising","541850",2,18,9
"26","Arlington","Interior Design Services","541410",6,11,1.83
"27","Arlington","Landscape Architectural Services","541320",3,7,2.33
"28","Arlington","Motion Picture Theaters (except Drive-Ins)","512131",2,12,6
"29","Arlington","Motion Picture and Video Production","512110",4,11,2.75
"30","Arlington","Museums","712110",8,56,7
"31","Arlington","Music Publishers","512230",1,0,0
"32","Arlington","Musical Groups and Artists","711130",2,5,2.5
"33","Arlington","Nature Parks and Other Similar Institutions","712190",3,16,5.33
"34","Arlington","Photography Studios, Portrait","541921",3,3,1
"35","Arlington","Sound Recording Studios","512240",2,3,1.5
"36","Arlington","Support Activities For Printing","323120",1,9,9
"37","Arlington","Theater Companies and Dinner Theaters","711110",5,21,4.2
"38","Arlington","Zoos and Botanical Gardens","712130",1,5,5
"39","Ashland","Architectural Services","541310",4,10,2.5
"40","Ashland","Commercial Photography","541922",2,2,1
"41","Ashland","Commercial Printing (except Screen and Books)","323111",2,7,3.5
"42","Ashland","Commercial Screen Printing","323113",1,2,2
"43","Ashland","Fine Arts Schools","611610",1,8,8
"44","Ashland","Graphic Design Services","541430",2,3,1.5
"45","Ashland","Interior Design Services","541410",2,3,1.5
"46","Ashland","Motion Picture and Video Production","512110",2,2,1
"47","Ashland","Museums","712110",1,5,5
"48","Ashland","Nature Parks and Other Similar Institutions","712190",2,13,6.5
"49","Ashland","Other Specialized Design Services","541490",2,4,2
"50","Ashland","Photography Studios, Portrait","541921",3,2,0.67
"51","Bedford","Advertising Agencies","541810",1,1,1
"52","Bedford","Architectural Services","541310",1,3,3
"53","Bedford","Fine Arts Schools","611610",3,10,3.33
"54","Bedford","Graphic Design Services","541430",2,2,1
"55","Bedford","Independent Artists, Writers, and Performers","711510",1,2,2
"56","Bedford","Interior Design Services","541410",2,3,1.5
"57","Bedford","Media Representatives","541840",1,1,1
"58","Bedford","Museums","712110",2,8,4
"59","Bedford","Musical Instrument Manufacturing","339992",1,4,4
