"","USE_CODE_SYMB","NAICSD","NAICS.6","muni_name","Num_Business","Employment","Avg_emp"
"1","Commercial","Architectural Services","541310","Boston",231,4380,18.96
"2","Commercial","Interior Design Services","541410","Boston",68,353,5.19
"3","Commercial","Advertising Agencies","541810","Boston",60,2597,43.28
"4","Commercial","Museums","712110","Boston",52,616,11.85
"5","Commercial","Independent Artists, Writers, and Performers","711510","Boston",48,358,7.46
"6","Mixed Use","Architectural Services","541310","Boston",44,363,8.25
"7","Commercial","Architectural Services","541310","Cambridge",42,650,15.48
"8","Commercial","Graphic Design Services","541430","Boston",39,414,10.62
"9","Condominium","Architectural Services","541310","Boston",39,320,8.21
"10","Condominium","Interior Design Services","541410","Boston",39,84,2.15
"11","Commercial","Other Performing Arts Companies","711190","Boston",38,877,23.08
"12","Two or Three Family Residences","Other Performing Arts Companies","711190","Boston",38,192,5.05
"13","Commercial","Commercial Printing (except Screen and Books)","323111","Boston",37,358,9.68
"14","Commercial","Motion Picture and Video Production","512110","Boston",37,267,7.22
"15","Two or Three Family Residences","Photography Studios, Portrait","541921","Boston",37,73,1.97
"16","Commercial","Fine Arts Schools","611610","Boston",34,335,9.85
"17","Condominium","Photography Studios, Portrait","541921","Boston",32,51,1.59
"18","Commercial","Theater Companies and Dinner Theaters","711110","Boston",30,461,15.37
"19","Commercial","Photography Studios, Portrait","541921","Boston",28,74,2.64
"20","Mixed Use","Photography Studios, Portrait","541921","Boston",27,56,2.07
"21","Mixed Use","Interior Design Services","541410","Boston",26,77,2.96
"22","Two or Three Family Residences","Graphic Design Services","541430","Boston",22,55,2.5
"23","Two or Three Family Residences","Independent Artists, Writers, and Performers","711510","Boston",22,39,1.77
"24","Mixed Use","Graphic Design Services","541430","Boston",21,83,3.95
"25","Commercial","Landscape Architectural Services","541320","Boston",19,205,10.79
"26","Single Family Residence","Architectural Services","541310","Newton",19,60,3.16
"27","Commercial","Architectural Services","541310","Newton",18,96,5.33
"28","Condominium","Architectural Services","541310","Cambridge",18,55,3.06
"29","Condominium","Graphic Design Services","541430","Boston",18,38,2.11
